Date,Open,High,Low,Close,Volume,Adj Close
1/8/2016,7011.109863,7057.890137,6934.689941,6946.359863,215100,6946.359863
1/7/2016,7185.009766,7185.009766,6981.529785,6995.390137,238200,6995.390137
1/6/2016,7334.799805,7334.799805,7183.060059,7217.049805,193500,7217.049805
1/5/2016,7362.089844,7386.359863,7277.049805,7363.950195,204400,7363.950195
1/4/2016,7491.410156,7491.410156,7289.049805,7352.589844,226300,7352.589844
12/31/2015,7525.52002,7566.689941,7488.120117,7508.709961,155800,7508.709961
12/30/2015,7617.5,7617.5,7528.439941,7537.399902,99600,7537.399902
12/29/2015,7581.5,7626.700195,7563.470215,7619.779785,91500,7619.779785
12/28/2015,7614.089844,7614.089844,7508.649902,7566.700195,95800,7566.700195
12/24/2015,7606.22998,7652.799805,7601.47998,7622.609863,69600,7622.609863
12/23/2015,7531.72998,7621.700195,7511.810059,7610.490234,134800,7610.490234
12/22/2015,7437.439941,7543.180176,7419.160156,7526.77002,140300,7526.77002
12/21/2015,7384.870117,7447,7376.680176,7415.390137,150900,7415.390137
12/18/2015,7527.830078,7527.830078,7361.109863,7364.040039,497300,7364.040039
12/17/2015,7684.930176,7765.390137,7532.52002,7533.379883,168100,7533.379883
12/16/2015,7580.609863,7705.52002,7577.049805,7687,158300,7687
12/15/2015,7507.430176,7585.27002,7507.430176,7551.25,164100,7551.25
12/14/2015,7516.990234,7543.72998,7406.25,7489.640137,208300,7489.640137
12/11/2015,7659.160156,7659.160156,7515.680176,7524.640137,236400,7524.640137
12/10/2015,7637.169922,7727.47998,7629.189941,7671.470215,177800,7671.470215
12/9/2015,7643.569824,7728.359863,7565.810059,7627.910156,205300,7627.910156
12/8/2015,7868.279785,7868.279785,7640.859863,7663.240234,235400,7663.240234
12/7/2015,7945.089844,8014.990234,7861.819824,7884.779785,218000,7884.779785
12/4/2015,7890.689941,7963.910156,7831.52002,7954.830078,222100,7954.830078
12/3/2015,8032.259766,8052.970215,7852.379883,7885.819824,237300,7885.819824
12/2/2015,8197.389648,8197.389648,7994.310059,8030.430176,205900,8030.430176
12/1/2015,8105.660156,8209.240234,8088.899902,8204.269531,146900,8204.269531
11/30/2015,8216.759766,8235.519531,8101.089844,8101.450195,199500,8101.450195
11/27/2015,8183.560059,8241,8174.120117,8215.419922,65900,8215.419922
11/25/2015,8180.27002,8194.950195,8148.779785,8172.049805,115000,8172.049805
